datetime,lat,lon,county,state,hail_size,hail,temp_2m,dewpoint_2m,rh,wind_10m,wind_100m,shear,wind_max,precipitation,pressure,cloudcover,month,hour,prob_twin,prob_xgb
2024-05-22 06:08:00,35.4945,-97.7534,CANADIAN,OKLAHOMA,0.75,1,17.4,13.9,80,27.8,42.1,14.3,42.1,7.3,963.2,100,5,6,0.263,0.009736435487866402
2023-06-03 18:45:00,26.45,-98.86,STARR,TEXAS,1.5,1,33.5,17.8,39,17.7,22.7,5.0,22.7,0.0,994.5,90,6,18,0.455,0.014788164757192135
2023-04-22 17:44:00,30.98,-98.79,SAN SABA,TEXAS,1.0,1,25.1,11.4,42,21.9,29.1,7.200000000000003,29.1,0.0,953.0,100,4,17,0.477,0.0060960943810641766
2023-06-12 03:30:00,35.64,-101.6,HUTCHINSON,TEXAS,2.5,1,18.2,14.2,77,17.3,29.7,12.399999999999999,29.7,0.0,904.6,1,6,3,0.179,0.01848427765071392
2023-06-14 16:27:00,32.5,-96.89,ELLIS,TEXAS,1.0,1,28.1,23.2,75,12.8,16.1,3.3000000000000007,16.1,0.0,980.9,30,6,16,0.198,0.018397772684693336
2023-04-28 16:08:00,30.43,-97.77,WILLIAMSON,TEXAS,1.5,1,19.7,17.5,87,24.4,37.3,12.899999999999999,37.3,11.1,973.6,100,4,16,0.196,0.03212312236428261
2023-06-16 19:10:00,31.203,-97.1142,FALLS,TEXAS,1.75,1,34.0,25.5,62,12.5,17.3,4.800000000000001,17.3,0.0,987.4,38,6,19,0.319,0.04106353968381882
2023-04-22 14:40:00,31.74,-99.96,RUNNELS,TEXAS,3.0,1,27.5,11.9,38,14.1,16.8,2.700000000000001,16.8,0.0,953.3,100,4,14,0.43,0.013658949173986912
2023-05-25 02:05:00,33.18,-102.83,YOAKUM,TEXAS,1.0,1,19.1,14.4,74,16.3,29.4,13.099999999999998,29.4,0.0,890.1,2,5,2,0.209,0.014486945234239101
2023-04-02 14:00:00,33.31,-98.04,JACK,TEXAS,1.25,1,22.1,16.5,71,11.7,15.8,4.100000000000001,15.8,5.8,977.4,85,4,14,0.312,0.013658949173986912
2023-06-03 14:58:00,33.01,-94.37,CASS,TEXAS,0.75,1,35.0,16.6,34,4.7,6.1,1.3999999999999995,6.1,0.0,994.9,100,6,14,0.455,0.025279328227043152
2023-06-15 18:17:00,30.81,-98.37,BURNET,TEXAS,1.0,1,27.1,22.9,78,15.0,19.8,4.800000000000001,19.8,0.0,969.0,7,6,18,0.175,0.018312323838472366
2023-06-08 12:56:00,29.76,-98.44,COMAL,TEXAS,1.0,1,28.8,20.8,62,4.8,6.0,1.2000000000000002,6.0,0.3,969.7,29,6,12,0.303,0.012774139642715454
2023-06-11 19:39:00,33.09,-97.16,DENTON,TEXAS,3.5,1,25.9,23.6,88,3.9,14.8,10.9,14.8,0.0,983.0,84,6,19,0.099,0.018397772684693336
2023-04-25 17:32:00,32.62,-100.6,FISHER,TEXAS,1.0,1,24.1,10.8,43,18.1,23.2,5.099999999999998,23.2,0.0,932.0,54,4,17,0.424,0.004769870080053806
